timestamp,project,duration_sec,prompt_tokens,generated_tokens,tok_per_sec,model
2025-12-17T16:32:45-06:00,.claude,130,code16
2025-12-17T16:33:24-06:00,scripts,35,code16
2025-12-17T16:43:02-06:00,.claude,126,1555,1358,10.9,code16
2025-12-17T16:43:43-06:00,scripts,36,285,256,8.2,code16
2025-12-17T16:52:01-06:00,.claude,145,1763,1589,11.1,code16
2025-12-17T16:53:21-06:00,scripts,75,990,793,10.9,code16
2025-12-18T09:37:17-06:00,scripts,219,3428,2559,11.8,code16
2025-12-18T09:38:11-06:00,zshConfig,49,500,445,9.5,code16
2025-12-18T09:50:50-06:00,scripts,141,2119,1578,11.5,code16
2025-12-18T10:41:43-06:00,scripts,48,475,431,9.4,code16
2025-12-18T11:01:07-06:00,scripts,53,458,447,9.3,code16
2025-12-18T15:20:06-06:00,.claude,154,1816,1965,12.9,code16-tuned
2025-12-18T15:39:21-06:00,.claude,184,1949,2035,11.2,qwen-gon-jinn
2025-12-18T15:43:17-06:00,scripts,230,3336,2496,11.0,qwen-gon-jinn
2025-12-18T15:43:46-06:00,test-backup-repo,25,378,271,12.9,qwen-gon-jinn
2025-12-18T16:01:32-06:00,test-backup-repo,29,378,334,13.0,qwen-gon-jinn
2025-12-18T16:39:26-06:00,.claude,120,1258,1411,12.2,qwen-gon-jinn
2025-12-18T16:39:56-06:00,test-backup-repo,25,378,289,13.1,qwen-gon-jinn
2025-12-19T09:19:11-06:00,.claude,107,1478,1223,12.0,qwen-gon-jinn
2025-12-19T09:19:41-06:00,scripts,25,283,301,12.9,qwen-gon-jinn
2025-12-19T09:20:15-06:00,test-backup-repo,29,378,304,13.0,qwen-gon-jinn
2025-12-19T10:17:56-06:00,test-backup-repo,54,378,694,13.1,qwen-gon-jinn
